Source_Mol,Target_Mol
O=C(C=Cc1ccc(O)cc1)NCCC1CCN(Cc2ccccc2)CC1,CC(C)(C)c1cc(C=CC(=O)NCCC2CCN(Cc3ccc(F)cc3F)CC2)cc(C(C)(C)C)c1O
O=C(C=Cc1ccc(O)cc1)NCCC1CCN(Cc2ccccc2)CC1,CC(C)(C)c1cc(C=CC(=O)NCCC2CCN(Cc3ccc(Br)cc3)CC2)cc(C(C)(C)C)c1O
O=C(C=Cc1ccc(O)cc1)NCCC1CCN(Cc2ccccc2)CC1,CC(C)(C)c1cc(C=CC(=O)NCCC2CCN(Cc3ccccc3Cl)CC2)cc(C(C)(C)C)c1O
O=C(C=Cc1ccc(O)cc1)NCCC1CCN(Cc2ccccc2)CC1,CC(C)(C)c1cc(C=CC(=O)NCCC2CCN(Cc3ccc(F)cc3)CC2)cc(C(C)(C)C)c1O
O=C(C=Cc1ccc(O)cc1)NCCC1CCN(Cc2ccccc2)CC1,CC(C)(C)c1cc(C=CC(=O)NCCC2CCN(Cc3cccc(Cl)c3)CC2)cc(C(C)(C)C)c1O
O=C(C=Cc1ccc(O)cc1)NCCC1CCN(Cc2ccccc2)CC1,Cc1ccccc1CN1CCC(CCNC(=O)C=Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)CC1
O=C(C=Cc1ccc(O)cc1)NCCC1CCN(Cc2ccccc2)CC1,Cc1ccc(CN2CCC(CCNC(=O)C=Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)CC2)cc1
O=C(C=Cc1ccc(O)cc1)NCCC1CCN(Cc2ccccc2)CC1,CC(C)(C)c1cc(C=CC(=O)NCCC2CCN(Cc3ccc(C#N)cc3)CC2)cc(C(C)(C)C)c1O
O=C(C=Cc1ccc(O)cc1)NCCC1CCN(Cc2ccccc2)CC1,CC(C)(C)c1cc(C=CC(=O)NCCC2CCN(Cc3ccccc3)CC2)cc(C(C)(C)C)c1O
COc1cc2c(cc1OC)C(=O)C(=Cc1ccc(CN3CCCC3)cc1)C2,CCN(CC)Cc1ccc(C=C2Cc3cc(OC)c(OC)cc3C2=O)cc1
COc1cc2c(cc1OC)C(=O)C(=Cc1cc[n+](Cc3ccc(Br)cc3)cc1)C2,CCN(CC)Cc1ccc(C=C2Cc3cc(OC)c(OC)cc3C2=O)cc1
c1ccc2c(NCCCCCCCCN3CCOCC3)c3c(nc2c1)CCCC3,Cc1c(C)c2ccc(OCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)cc2oc1=O
c1ccc2c(NCCCCCCCCN3CCOCC3)c3c(nc2c1)CCCC3,Cc1c(Cl)c(=O)oc2cc(OCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)ccc12
CN(CCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1,Cc1c(C)c2ccc(OCCCN(C)Cc3ccccc3)cc2oc1=O
CN(CCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1,Cc1c(C)c2ccc(OCc3ccc(CN(C)Cc4ccccc4)cc3)cc2oc1=O
CN(CCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1,Cc1c(C)c2ccc(OCCCCCCN(C)Cc3ccccc3)cc2oc1=O
CN(CCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1,Cc1c(C)c2ccc(OCCCCN(C)Cc3ccccc3)cc2oc1=O
CN(CCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1,CCN(CCCCCCOc1ccc2c(C)c(C)c(=O)oc2c1)Cc1ccccc1
O=c1c2cc(Cl)ccc2oc2ccc(OCCCCCN3CCCCCC3)cc12,O=c1ccoc2ccc(OCCCCN3CCCCC3)cc12
COc1cccc(CN(C)CCOc2ccc3c4c(c(=O)oc3c2)CCCC4)c1,Cc1c(C)c2ccc(OCCCN(C)Cc3ccccc3)cc2oc1=O
COc1cccc(CN(C)CCOc2ccc3c4c(c(=O)oc3c2)CCCC4)c1,Cc1c(C)c2ccc(OCCCCCCN(C)Cc3ccccc3)cc2oc1=O
COc1cccc(CN(C)CCOc2ccc3c4c(c(=O)oc3c2)CCCC4)c1,Cc1c(C)c2ccc(OCCCCN(C)Cc3ccccc3)cc2oc1=O
COc1ccc2oc(=O)c(C(=O)NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc2c1,Cc1c(C)c2ccc(OCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)cc2oc1=O
COc1ccc2oc(=O)c(C(=O)NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc2c1,Cc1c(Cl)c(=O)oc2cc(OCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)ccc12
O=c1ccoc2ccc(OCCCN3CCCCC3)cc12,O=c1ccoc2ccc(OCCCCN3CCCCC3)cc12
CCCCCCCNC(=O)Oc1cccc(CN(C)CCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,Cc1c(C)c2ccc(OCCCCCCN(C)Cc3ccccc3)cc2oc1=O
COc1cc2c(cc1OC)C(=O)C(=Cc1cccc(CN3CCCC3)c1)C2,CCN(CC)Cc1ccc(C=C2Cc3cc(OC)c(OC)cc3C2=O)cc1
CN(CCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1,Cc1c(C)c2ccc(OCCCN(C)Cc3ccccc3)cc2oc1=O
CN(CCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1,Cc1c(C)c2ccc(OCc3ccc(CN(C)Cc4ccccc4)cc3)cc2oc1=O
CN(CCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1,Cc1c(C)c2ccc(OCCCCCCN(C)Cc3ccccc3)cc2oc1=O
CN(CCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1,Cc1c(C)c2ccc(OCCCCN(C)Cc3ccccc3)cc2oc1=O
CN(CCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1,CCN(CCCCCCOc1ccc2c(C)c(C)c(=O)oc2c1)Cc1ccccc1
COc1ccc2oc(=O)c(C(=O)NCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc2c1,Cc1c(C)c2ccc(OCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)cc2oc1=O
