Source_Mol,Target_Mol
Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2oc(CN3CCN(C(C)(C)C(N)=O)CC3)cc2n1,CC(c1cc(C(=O)N2CCCC2)cc2c(=O)cc(N3CCOCC3)oc12)N(C)c1cc(F)cc(F)c1
Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2oc(CN3CCN(C(C)(C)C(N)=O)CC3)cc2n1,CC(C1CC1)N1Cc2cc(-c3ccn4nc(N)c(C(=O)NC5CC5)c4n3)cc(S(=O)(=O)C(C)C)c2C1=O
Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2oc(CN3CCN(C(C)(C)C(N)=O)CC3)cc2n1,CC(=O)N1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1
Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2oc(CN3CCN(C(C)(C)C(N)=O)CC3)cc2n1,CCC(Nc1nc(N)nc(N)c1C#N)c1nc2cccc(CCCCCC(=O)NO)c2c(=O)n1-c1ccccc1
Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2oc(CN3CCN(C(C)(C)C(N)=O)CC3)cc2n1,N#Cc1c(N)ncnc1N1CCCC1c1nc2cccc(F)c2c(=O)n1Cc1ccccc1
Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2oc(CN3CCN(C(C)(C)C(N)=O)CC3)cc2n1,COCC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1
Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2oc(CN3CCN(C(C)(C)C(N)=O)CC3)cc2n1,O=C(O)CCNc1nc(N2CCOCC2)nc(-n2c(C(F)F)nc3ccccc32)n1
Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2oc(CN3CCN(C(C)(C)C(N)=O)CC3)cc2n1,COC1CC(c2nc3cccc(Cl)c3c(=O)n2-c2ccccc2)N(c2ncnc(N)c2C#N)C1
Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2oc(CN3CCN(C(C)(C)C(N)=O)CC3)cc2n1,COCC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1
Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2oc(CN3CCN(C(C)(C)C(N)=O)CC3)cc2n1,CCC(=O)N1CCC(Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1
Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2oc(CN3CCN(C(C)(C)C(N)=O)CC3)cc2n1,Cc1cccc(C)c1-n1c(Cn2nc(-c3ccc4[nH]ccc4c3)c3c(N)ncnc32)nc2cccc(F)c2c1=O
Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2oc(CN3CCN(C(C)(C)C(N)=O)CC3)cc2n1,CNC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1
Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2oc(CN3CCN(C(C)(C)C(N)=O)CC3)cc2n1,COCC(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1
Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2oc(CN3CCN(C(C)(C)C(N)=O)CC3)cc2n1,Cc1nncn1C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1
