Source_Mol,Target_Mol
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,CC(C1CC1)N1Cc2cc(-c3ccn4nc(N)c(C(=O)NC5CC5)c4n3)cc(S(=O)(=O)C(C)C)c2C1=O
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,CN(C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1)S(C)(=O)=O
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,N#Cc1c(N)ncnc1N1CCCC1c1nc2cccc(F)c2c(=O)n1Cc1ccccc1
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,CN(C1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1)S(C)(=O)=O
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,COC1CC(c2nc3cccc(Cl)c3c(=O)n2-c2ccccc2)N(c2ncnc(N)c2C#N)C1
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,Cc1cc(-c2ccn3nc(N)c(C(=O)NC4CCC(C)(O)CC4)c3n2)cc2c1C(=O)N(C(C)C1CC1)C2
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,Cc1nncn1C1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,COc1ncc(-c2cc(OC3CCOCC3)c3ncnc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,CCC(Nc1nc(N)nc(C)c1C#N)c1nc2cccc(CCCCCC(=O)NO)c2c(=O)n1-c1ccccc1
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,O=C(c1cc(C2CCCN2c2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1)N1CCOCC1
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,CC(C1CC1)N1Cc2cc(-c3ccn4nc(N)c(C(=O)NC5CC5)c4n3)cc(C(F)(F)F)c2C1=O
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,CC(C1CC1)N1Cc2cc(-c3ccn4nc(N)c(C(=O)NC5CCC(C)(O)CC5)c4n3)cc(OC(F)F)c2C1=O
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,CN(C)C(=O)c1cc(CN2CCOc3c(F)cc(F)cc32)c2oc(N3CCOCC3)cc(=O)c2c1
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,N#Cc1c(N)ncnc1N1CCCC1c1nc2cccc(C(F)(F)F)c2c(=O)n1-c1ccccc1
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,CS(=O)(=O)Nc1cc(-c2ccn3nc(N)c(C(=O)NC4CC4)c3n2)cc2c1C(=O)N(C(C1CC1)C(F)(F)F)C2
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,CC(Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(S(C)(=O)=O)c1-c1ccccc1
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,CC(C1CC1)N1Cc2cc(-c3ccn4nc(N)c(C(=O)NC5CC5)c4n3)cc(S(C)(=O)=O)c2C1=O
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,COc1c(-c2ccccc2)c(C(C)Nc2ncnc(N)c2C#N)nc2ccc(F)cc12
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,CNS(=O)(=O)c1cc(-c2ccn3nc(N)c(C(=O)NC(CO)C4CC4)c3n2)cc2c1C(=O)N(C(C)C(F)(F)F)C2
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,CC(Nc1nc(N)nc(N)c1C#N)c1c(-c2ccccc2)c(=O)n2cc(F)ccc2c1-c1ccc(F)cc1
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,CC(Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(NCCO)c1-c1ccccc1
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,Cc1cc(-c2ccn3nc(N)c(C(=O)NC4CC(O)C4)c3n2)cc2c1C(=O)N(C(C)C1CC1)C2
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,Cc1cc(-c2ccn3nc(N)c(C(=O)NC4CCC4)c3n2)cc2c1C(=O)N(C(C)C1CC1)C2
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC(F)F)c2)C3=O)cnc1OC,CC(N1Cc2cc(-c3ccn4nc(N)c(C(=O)NC5CC5)c4n3)cc(NS(C)(=O)=O)c2C1=O)C(F)(F)F
