Source_Mol,Target_Mol
O=C1CCCc2c1cnn2-c1ccc(S(=O)(=O)Nc2cccc([N+](=O)[O-])c2)cc1,O=C1CC(c2ccccc2)Cc2c1cnn2-c1ccc(S(=O)(=O)Nc2ccccc2)cc1
O=C1CCCc2c1cnn2-c1ccc(S(=O)(=O)Nc2cccc([N+](=O)[O-])c2)cc1,Cc1ccc(NS(=O)(=O)c2ccc(-n3ncc4c3CCCC4=O)cc2)cc1
O=C1CCCc2c1cnn2-c1ccc(S(=O)(=O)Nc2cccc([N+](=O)[O-])c2)cc1,Cc1cccc(NS(=O)(=O)c2ccc(-n3ncc4c3CC(c3ccccc3)CC4=O)cc2)c1
O=C1CCCc2c1cnn2-c1ccc(S(=O)(=O)Nc2cccc([N+](=O)[O-])c2)cc1,O=C1CCCc2c1cnn2-c1ccc(S(=O)(=O)Nc2cccc(Cl)c2)cc1
O=C1CCCc2c1cnn2-c1ccc(S(=O)(=O)Nc2cccc([N+](=O)[O-])c2)cc1,O=C1CCCc2c1cnn2-c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1
O=C1CCCc2c1cnn2-c1ccc(S(=O)(=O)Nc2cccc([N+](=O)[O-])c2)cc1,O=C1CC(c2ccccc2)Cc2c1cnn2-c1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2)cc1
O=C1CCCc2c1cnn2-c1ccc(S(=O)(=O)Nc2cccc([N+](=O)[O-])c2)cc1,O=C1CC(c2ccccc2)Cc2c1cnn2-c1ccc(S(=O)(=O)Nc2cccc([N+](=O)[O-])c2)cc1
O=C1CCCc2c1cnn2-c1ccc(S(=O)(=O)Nc2cccc([N+](=O)[O-])c2)cc1,COc1cccc(NS(=O)(=O)c2ccc(-n3ncc4c3CC(c3ccccc3)CC4=O)cc2)c1
O=C1CCCc2c1cnn2-c1ccc(S(=O)(=O)Nc2cccc([N+](=O)[O-])c2)cc1,Cc1cccc(NS(=O)(=O)c2ccc(-n3ncc4c3CCCC4=O)cc2)c1
O=C1CCCc2c1cnn2-c1ccc(S(=O)(=O)Nc2cccc([N+](=O)[O-])c2)cc1,O=C1CCCc2c1cnn2-c1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2)cc1
O=C1CCCc2c1cnn2-c1ccc(S(=O)(=O)Nc2cccc([N+](=O)[O-])c2)cc1,O=C1CC(c2ccccc2)Cc2c1cnn2-c1ccc(S(=O)(=O)Nc2cccc(Cl)c2)cc1
O=C1CCCc2c1cnn2-c1ccc(S(=O)(=O)Nc2cccc([N+](=O)[O-])c2)cc1,COc1ccc(NS(=O)(=O)c2ccc(-n3ncc4c3CCCC4=O)cc2)cc1
O=C1CCCc2c1cnn2-c1ccc(S(=O)(=O)Nc2cccc([N+](=O)[O-])c2)cc1,O=C1CCCc2c1cnn2-c1ccc(S(=O)(=O)Nc2ccccc2)cc1
O=C1CCCc2c1cnn2-c1ccc(S(=O)(=O)Nc2cccc([N+](=O)[O-])c2)cc1,COc1cccc(NS(=O)(=O)c2ccc(-n3ncc4c3CC(C)(C)CC4=O)cc2)c1
O=S(=O)(Nc1nnc(SCc2ccccc2)s1)c1ccccc1,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccccc2)s1
COC(=O)CCCCCNc1ccn(O)c(=O)n1,NS(=O)(=O)c1ccc(NC(=O)CCCNc2ccn(O)c(=O)n2)cc1
COC(=O)CCCCCNc1ccn(O)c(=O)n1,NS(=O)(=O)c1ccc(NC(=O)CCCCCNc2ccn(O)c(=O)n2)cc1
C#CCOP(=O)(Oc1ccc(S(N)(=O)=O)cc1)c1ccccc1,NP(=O)(Oc1ccc(S(N)(=O)=O)cc1)c1ccccc1
